,provinsi,kabupaten,ibukota,hektar,penduduk,density
0,Aceh,Kabupaten Aceh Barat,Meulaboh,292795.0,210113.0,71.76112980071382
1,Aceh,Kabupaten Aceh Barat Daya,Blangpidie,149060.0,150393.0,100.89427076345096
2,Aceh,Kabupaten Aceh Besar,Kota Jantho,296900.0,425216.0,143.21859211855843
3,Aceh,Kabupaten Aceh Jaya,Calang,381299.0,92892.0,24.361983640135435
4,Aceh,Kabupaten Aceh Selatan,Tapak Tuan,384160.0,238081.0,61.97443773427739
5,Aceh,Kabupaten Aceh Singkil,Singkil,218500.0,124101.0,56.79679633867277
6,Aceh,Kabupaten Aceh Tamiang,Karang Baru,195672.0,295011.0,150.76812216362075
7,Aceh,Kabupaten Aceh Tengah,Takengon,431839.0,212494.0,49.20676455808762
8,Aceh,Kabupaten Aceh Tenggara,Kutacane,423143.0,216495.0,51.16355463755751
9,Aceh,Kabupaten Aceh Timur,Idi Rayeuk,628601.0,436081.0,69.37325903076832
10,Aceh,Kabupaten Aceh Utara,Lhoksukon,323686.0,619407.0,191.3604542674073
11,Aceh,Kabupaten Bener Meriah,Simpang Tiga Redelong,145409.0,148175.0,101.90222063283566
12,Aceh,Kabupaten Bireuen,Bireuen,190120.0,471635.0,248.07227014517147
13,Aceh,Kabupaten Gayo Lues,Blang Kejeren,571958.0,94100.0,16.452256983904412
14,Aceh,Kabupaten Nagan Raya,Suka Makmue,336372.0,167294.0,49.734817404540216
15,Aceh,Kabupaten Pidie,Sigli,308695.0,444976.0,144.14745946646366
16,Aceh,Kabupaten Pidie Jaya,Meureudu,107360.0,161215.0,150.16300298062595
17,Aceh,Kabupaten Simeulue,Sinabang,205148.0,93228.0,45.44426462846335
18,Aceh,Kota Banda Aceh,-,6136.0,270321.0,4405.492177314211
19,Aceh,Kota Langsa,-,26241.0,176811.0,673.796730307534
20,Aceh,Kota Lhokseumawe,-,18106.0,207202.0,1144.383077432895
21,Aceh,Kota Sabang,-,15300.0,34874.0,227.9346405228758
22,Aceh,Kota Subulussalam,-,139100.0,81417.0,58.531272465851906
23,Sumatra Utara,Kabupaten Asahan,Kisaran,370221.0,706283.0,190.77334889160798
24,Sumatra Utara,Kabupaten Batu Bara,Limapuluh,92220.0,400803.0,434.6161353285621
25,Sumatra Utara,Kabupaten Dairi,Sidikalang,192780.0,279020.0,144.73493100944083
26,Sumatra Utara,Kabupaten Deli Serdang,Lubuk Pakam,224168.0,2029308.0,905.2621248349453
27,Sumatra Utara,Kabupaten Humbang Hasundutan,Dolok Sanggul,233533.0,182991.0,78.35766251450545
28,Sumatra Utara,Kabupaten Karo,Kabanjahe,212700.0,389591.0,183.16455101081334
29,Sumatra Utara,Kabupaten Labuhanbatu,Rantau Prapat,215602.0,462191.0,214.37231565569894
30,Sumatra Utara,Kabupaten Labuhanbatu Selatan,Kota Pinang,3596.0,313884.0,8728.698553948832
31,Sumatra Utara,Kabupaten Labuhanbatu Utara,Aek Kanopan,357098.0,351097.0,98.31950893032165
32,Sumatra Utara,Kabupaten Langkat,Stabat,626200.0,1013385.0,161.83088470137335
33,Sumatra Utara,Kabupaten Mandailing Natal,Panyabungan,613400.0,430894.0,70.24682099771763
34,Sumatra Utara,Kabupaten Nias,Gido,184251.0,136115.0,73.87476865797201
35,Sumatra Utara,Kabupaten Nias Barat,Lahomi,47373.0,84917.0,179.25189453908342
36,Sumatra Utara,Kabupaten Nias Selatan,Teluk Dalam,182520.0,308281.0,168.90258601797063
37,Sumatra Utara,Kabupaten Nias Utara,Lotu,120278.0,133897.0,111.32293520011973
38,Sumatra Utara,Kabupaten Padang Lawas,Sibuhuan,389274.0,258003.0,66.27799442038256
39,Sumatra Utara,Kabupaten Padang Lawas Utara,Gunung Tua,391805.0,252589.0,64.46803894794604
40,Sumatra Utara,Kabupaten Pakpak Bharat,Salak,121830.0,45516.0,37.36025609455799
41,Sumatra Utara,Kabupaten Samosir,Pangururan,206905.0,123789.0,59.82890698629805
42,Sumatra Utara,Kabupaten Serdang Bedagai,Sei Rampah,190022.0,608691.0,320.3265937628275
43,Sumatra Utara,Kabupaten Simalungun,Raya,438660.0,849405.0,193.63630146354805
44,Sumatra Utara,Kabupaten Tapanuli Selatan,Sipirok,603047.0,275098.0,45.61800324021179
45,Sumatra Utara,Kabupaten Tapanuli Tengah,Pandan,218800.0,350017.0,159.97120658135285
46,Sumatra Utara,Kabupaten Tapanuli Utara,Tarutung,379164.0,293399.0,77.38050025846336
47,Sumatra Utara,Kabupaten Toba,Balige,232889.0,179704.0,77.16294028485675
48,Sumatra Utara,Kota Binjai,-,5919.0,264687.0,4471.81956411556
49,Sumatra Utara,Kota Gunungsitoli,-,28078.0,135995.0,484.34717572476677
50,Sumatra Utara,Kota Medan,-,26510.0,2210624.0,8338.83062995096
51,Sumatra Utara,Kota Padangsidempuan,-,11466.0,209796.0,1829.7226582940868
52,Sumatra Utara,Kota Pematangsiantar,-,5566.0,247411.0,4445.0413223140495
53,Sumatra Utara,Kota Sibolga,-,4131.0,86519.0,2094.38392641007
54,Sumatra Utara,Kota Tanjungbalai,-,10783.0,167012.0,1548.845404803858
55,Sumatra Utara,Kota Tebing Tinggi,-,3100.0,156815.0,5058.548387096775
56,Sumatra Barat,Kabupaten Agam,Lubuk Basung,180430.0,529138.0,293.2649781078535
57,Sumatra Barat,Kabupaten Dharmasraya,Pulau Punjung,296113.0,228591.0,77.19721862937459
58,Sumatra Barat,Kabupaten Kepulauan Mentawai,Tuapejat,601135.0,87623.0,14.576259908340056
59,Sumatra Barat,Kabupaten Lima Puluh Kota,Sarilamak,357114.0,383525.0,107.39567757074772
60,Sumatra Barat,Kabupaten Padang Pariaman,Parit Malintang,133251.0,430626.0,323.1690568926312
61,Sumatra Barat,Kabupaten Pasaman,Lubuk Sikaping,394763.0,299851.0,75.95721990156119
62,Sumatra Barat,Kabupaten Pasaman Barat,Simpang Ampek,388777.0,431672.0,111.03331730014892
63,Sumatra Barat,Kabupaten Pesisir Selatan,Painan,574989.0,504418.0,87.72654781221901
64,Sumatra Barat,Kabupaten Sijunjung,Muaro Sijunjung,313040.0,235045.0,75.08465371837465
65,Sumatra Barat,Kabupaten Solok,Arosuka,373800.0,391497.0,104.73434991974318
66,Sumatra Barat,Kabupaten Solok Selatan,Padang Aro,334620.0,182027.0,54.398123244277095
67,Sumatra Barat,Kabupaten Tanah Datar,Batusangkar,133610.0,371704.0,278.2007334780331
68,Sumatra Barat,Kota Bukittinggi,-,2524.0,121028.0,4795.087163232964
69,Sumatra Barat,Kota Padang,-,69366.0,909040.0,1310.4979384712972
70,Sumatra Barat,Kota Padangpanjang,-,2300.0,56311.0,2448.304347826087
71,Sumatra Barat,Kota Pariaman,-,6613.0,94224.0,1424.8298805383338
72,Sumatra Barat,Kota Payakumbuh,-,8522.0,139576.0,1637.8314949542362
73,Sumatra Barat,Kota Sawahlunto,-,23193.0,65138.0,280.8519812012245
74,Sumatra Barat,Kota Solok,-,7129.0,73438.0,1030.130453078973
75,Riau,Kabupaten Bengkalis,Bengkalis,697541.0,537142.0,77.00507927132598
76,Riau,Kabupaten Indragiri Hilir,Tembilahan,1261478.0,616347.0,48.85911605275716
77,Riau,Kabupaten Indragiri Hulu,Rengat,772380.0,421922.0,54.626220254278984
78,Riau,Kabupaten Kampar,Bangkinang,1098347.0,740839.0,67.45035949476805
79,Riau,Kabupaten Kepulauan Meranti,Selatpanjang,370784.0,206611.0,55.722738845257616
80,Riau,Kabupaten Kuantan Singingi,Taluk Kuantan,525936.0,326266.0,62.0353046758541
81,Riau,Kabupaten Pelalawan,Pangkalan Kerinci,1275845.0,365817.0,28.672526835156308
82,Riau,Kabupaten Rokan Hilir,Bagansiapiapi,888159.0,631238.0,71.07263451701779
83,Riau,Kabupaten Rokan Hulu,Pasir Pengaraian,758813.0,553095.0,72.88949978453189
84,Riau,Kabupaten Siak,Siak Sri Indrapura,827518.0,415128.0,50.16543446789073
85,Riau,Kota Dumai,-,162338.0,280174.0,172.58682501940396
86,Riau,Kota Pekanbaru,-,63227.0,886226.0,1401.6575197304949
87,Kepulauan Riau,Kabupaten Bintan,Bandar Seri Bentan,131821.0,148658.0,112.7726234818428
88,Kepulauan Riau,Kabupaten Karimun,Tanjung Balai Karimun,91275.0,240891.0,263.9178307313065
89,Kepulauan Riau,Kabupaten Kepulauan Anambas,Tarempa,59014.0,43603.0,73.8858575931135
90,Kepulauan Riau,Kabupaten Lingga,Daik,226677.0,94962.0,41.89309016794822
91,Kepulauan Riau,Kabupaten Natuna,Ranai,200904.0,74977.0,37.31981443873691
92,Kepulauan Riau,Kota Batam,-,96025.0,1062250.0,1106.22233793283
93,Kepulauan Riau,Kota Tanjungpinang,-,14456.0,207933.0,1438.385445489762
